PrefName,Hokkaido,Aomori,Iwate,Miyagi,Akita,Yamagata,Fukushima,Ibaraki,Tochigi,Gunma,Saitama,Chiba,Tokyo,Kanagawa,Niigata,Toyama,Ishikawa,Fukui,Yamanashi,Nagano,Gifu,Shizuoka,Aichi,Mie,Shiga,Kyoto,Osaka,Hyogo,Nara,Wakayama,Tottori,Shimane,Okayama,Hiroshima,Yamaguchi,Tokushima,Kagawa,Ehime,Kochi,Fukuoka,Saga,Nagasaki,Kumamoto,Oita,Miyazaki,Kagoshima,Okinawa
Saitama,813361.8414,559583.202,447005.416,288924.6732,430473.0736,272054.9953,222424.8956,89724.93813,81442.92059,79470.86528,0,51239.14887,18983.22087,45401.04177,233719.0801,237933.4745,283852.389,309984.9273,100040.5051,158655.9175,270105.6212,150827.2294,259814.1279,311773.8192,356065.5486,365428.9603,397441.7437,426344.7751,370713.9835,447068.5203,491300.229,598846.9178,536511.1005,674854.1489,768730.992,505426.3768,537991.8773,667798.5906,615512.4267,881089.9403,905135.2095,963268.8086,887105.246,792465.3989,877309.5891,967495.4036,1562407.491
Chiba,834828.2464,581899.2396,463901.6422,303084.8122,456605.2074,293295.8807,240047.3628,86786.35028,108808.8175,129581.0189,51239.14887,0,40206.91676,46958.78601,273212.7291,288625.7932,333545.4132,356154.3968,141000.4063,209886.2726,309481.6834,172943.0392,295989.346,343275.0635,392641.5585,402403.1407,431631.9878,461380.5154,404032.1776,477932.4892,533622.1843,641432.4162,573521.5231,712144.6298,806048.0566,536706.4396,572554.2342,701483.3766,645805.4789,916953.3965,939609.3766,996207.0861,918883.9343,824895.6342,903613.3671,994196.8222,1578281.154
Tokyo,831042.828,577316.7066,463769.0062,304931.1434,448665.0154,289362.2359,238943.2086,99323.30545,98768.3788,96402.95978,18983.22087,40206.91676,0,27180.40034,252693.2305,249436.6015,293641.364,316072.5367,101735.2557,172805.7958,271297.6428,142839.2757,259107.7198,308730.0899,355732.3246,365328.6111,395874.3425,425247.7376,368668.2198,443902.6692,494551.7915,602306.9301,536556.0271,675109.8949,769027.8217,502509.1593,536727.6513,666149.4669,612200.4022,880625.791,903954.7963,961333.2641,884592.0552,790239.8516,872332.9734,962712.4406,1553557.31
Kanagawa,858223.1956,604495.538,490797.6279,331705.0167,475749.9606,316523.0444,265931.9309,122890.6853,125947.7412,117096.8429,45401.04177,46958.78601,27180.40034,0,277932.3754,259064.475,300217.3326,316832.7133,100298.8891,187548.336,265284.3421,126009.9715,250546.4891,296640.1238,347066.8162,356940.0031,385366.0444,415274.7698,357622.1172,431126.7856,490442.5121,598274.0325,527853.3977,666471.74,760340.0364,489919.579,526253.3506,654961.8004,598914.2346,870812.6049,893169.2752,949518.1639,872074.5618,778167.4508,856715.8043,947283.6827,1533245.726
Niigata,606038.5693,356541.5675,272358.0873,167180.8902,222347.031,123408.3146,128260.2265,214467.4041,166795.1229,167736.1995,233719.0801,273212.7291,252693.2305,277932.3754,0,209178.934,257534.52,322113.3462,251697.0754,157650.1073,346385.6781,329648.8532,356578.1717,418160.6,428199.6968,433529.4477,475717.3938,495835.2692,457728.6715,535674.6424,503568.5165,597910.8412,581473.3253,707021.5608,795332.8287,585744.1678,597511.5023,722417.966,691876.2407,912050.0277,943741.3058,1008938.667,941933.5137,847524.335,960648.1588,1046064.679,1678648.62
Toyama,790441.4032,551406.1002,480192.9759,367822.8446,420348.5709,327323.0626,311790.9178,292418.0429,239428.0769,169003.1592,237933.4745,288625.7932,249436.6015,259064.475,209178.934,0,53568.9621,113000.9485,167323.7658,86820.59194,151274.7784,218071.963,170334.7669,227107.2111,223414.0984,227559.3735,270393.5294,288320.3206,255544.7387,330842.7676,298578.0804,398530.3287,372632.0421,500629.5756,590720.0628,378341.5999,388352.6702,513534.6974,483169.2348,707270.6896,737665.1734,801988.6788,733667.2425,638975.4472,751673.256,836894.6034,1471783.503
Ishikawa,823895.8005,590236.2852,525755.3167,419205.2672,461568.9806,377918.3457,364496.5002,343604.7991,291594.5435,219356.1929,283852.389,333545.4132,293641.364,300217.3326,257534.52,53568.9621,0,69000.94209,203081.9929,139284.7579,133804.3043,239688.4857,158950.2222,207104.5845,189229.6375,191430.5934,234183.6215,248288.7057,223662.0016,294238.7438,246811.4194,345395.0917,324608.0978,449778.6538,539034.6203,337603.0088,342725.9597,465476.9438,439259.089,655698.5879,686703.1064,751568.7289,684449.3429,590178.1629,706467.2835,790499.852,1429698.372
Fukui,892747.2685,659068.0379,592445.7741,479878.8295,529918.7272,439954.1922,421995.0027,381139.4053,333465.3377,257763.5654,309984.9273,356154.3968,316072.5367,316832.7133,322113.3462,113000.9485,69000.94209,0,216543.5301,187480.8941,87429.06712,230222.8727,116143.6339,150387.1902,121990.9087,123299.5125,165747.2989,179289.7308,157137.7864,225531.4065,189850.1834,294213.0344,259696.4336,389302.9149,480513.8152,268691.813,275636.129,400564.0724,371279.9001,596708.5998,626211.5591,689953.0794,620933.3064,526124.6919,639240.1252,724076.0129,1361252.251
Yamanashi,855641.4703,603490.8639,502923.642,354451.954,469915.5668,327590.6612,287032.6381,185282.8471,155041.8938,92095.66805,100040.5051,141000.4063,101735.2557,100298.8891,251697.0754,167323.7658,203081.9929,216543.5301,0,114981.108,170149.7776,78054.34479,160159.0957,214266.4862,256132.7004,265436.4319,298089.9119,326673.2806,271802.2506,349187.8943,392820.8391,500587.1862,436477.3013,574814.7291,668694.3413,407137.2451,438338.0299,568302.281,517520.3613,781101.2577,805352.7556,863866.4022,788142.7483,693310.1283,781370.6636,871174.0277,1474648.758
Nagano,761657.4734,513842.681,427218.3114,298140.7183,379777.004,261512.4614,236793.1571,205872.4856,152609.1648,83920.0478,158655.9175,209886.2726,172805.7958,187548.336,157650.1073,86820.59194,139284.7579,187480.8941,114981.108,0,191953.8335,186683.7233,199685.0554,261430.4101,277590.8753,284120.589,324907.927,347769.5632,304598.2385,383724.5429,377255.3436,480317.703,443300.2068,575988.3285,667749.3334,436556.4122,454570.2748,582992.2516,545192.8093,783721.726,812512.525,875385.2004,804508.6402,709259.3023,814220.9907,901475.0867,1526289.169
